ts_code,name,symbol
000001.SZ,平安银行,000001
000002.SZ,万科Ａ,000002
000004.SZ,*ST国华,000004
000006.SZ,深振业Ａ,000006
000007.SZ,全新好,000007
000008.SZ,神州高铁,000008
000009.SZ,中国宝安,000009
000010.SZ,美丽生态,000010
000011.SZ,深物业A,000011
000012.SZ,南玻Ａ,000012
000014.SZ,沙河股份,000014
000016.SZ,深康佳Ａ,000016
000017.SZ,深中华A,000017
000019.SZ,深粮控股,000019
000020.SZ,深华发Ａ,000020
000021.SZ,深科技,000021
001872.SZ,招商港口,001872
000025.SZ,特力Ａ,000025
000026.SZ,飞亚达,000026
000027.SZ,深圳能源,000027
000028.SZ,国药一致,000028
000029.SZ,深深房Ａ,000029
000030.SZ,富奥股份,000030
000031.SZ,大悦城,000031
000032.SZ,深桑达Ａ,000032
000034.SZ,神州数码,000034
000035.SZ,中国天楹,000035
000036.SZ,华联控股,000036
000037.SZ,深南电A,000037
000039.SZ,中集集团,000039
000042.SZ,中洲控股,000042
001914.SZ,招商积余,001914
000045.SZ,深纺织Ａ,000045
000048.SZ,京基智农,000048
000049.SZ,德赛电池,000049
000050.SZ,深天马Ａ,000050
000055.SZ,方大集团,000055
000056.SZ,皇庭国际,000056
000058.SZ,深赛格,000058
000059.SZ,华锦股份,000059
000060.SZ,中金岭南,000060
000061.SZ,农产品,000061
000062.SZ,深圳华强,000062
000063.SZ,中兴通讯,000063
000065.SZ,北方国际,000065
000066.SZ,中国长城,000066
000068.SZ,华控赛格,000068
000069.SZ,华侨城Ａ,000069
000070.SZ,特发信息,000070
000078.SZ,海王生物,000078
000088.SZ,盐田港,000088
000089.SZ,深圳机场,000089
000090.SZ,天健集团,000090
000096.SZ,广聚能源,000096
000099.SZ,中信海直,000099
000100.SZ,TCL科技,000100
000151.SZ,中成股份,000151
000153.SZ,丰原药业,000153
000155.SZ,川能动力,000155
000156.SZ,华数传媒,000156
000157.SZ,中联重科,000157
000158.SZ,常山北明,000158
000159.SZ,国际实业,000159
000301.SZ,东方盛虹,000301
000400.SZ,许继电气,000400
000401.SZ,金隅冀东,000401
000402.SZ,金融街,000402
000403.SZ,派林生物,000403
